Kategori,Transaksi,Harga,PemasukanPengeluaran
Devisi HpCash,(2766 - 4846) ganti baterai asus zenfone max pro,250000,Pemasukan
OperasionalCash,(2767 - ) kabel type c,25000,Pengeluaran
Devisi HpCash,(2768 - 4844) cleaning fan + ram asus ROG,250000,Pemasukan
OperasionalATM,(2769 - ) enclosure HDD Orico,150000,Pemasukan
Devisi HpATM,(4837 - 4837) LCD Infinix note 7,217000,Pemasukan
Devisi HpCash,(4848 - 4848) soft xiaomi note 9 matot,100000,Pemasukan
KasbonCash,(makan siang) P. Denny & Bu Inggrid,21500,Pengeluaran
KasbonCash,(sewa pancing) P. Denny & Bu Inggrid,30000,Pengeluaran
Devisi HpCash,(2762 - 4843) DP ganti LCD TS HP Huawei honor 10,300000,Pemasukan
Devisi HpCash,(2763 - 4841) service cas samsung A51,150000,Pemasukan
Devisi HpCash,(2764 - 4842) ganti konektor cas handphone redmi 4A,100000,Pemasukan
Devisi LaptopCash,(2765 - 4831) cleaning dan ganti pasta PC DELL,100000,Pemasukan
Devisi LaptopCash,(4845 - 4845) SSD Sonix 128 GB,225000,Pemasukan
Devisi HpATM,(2760 - 4838) ganti baterai hp redmi note 9 pro,300000,Pemasukan
Devisi HpCash,(2761 - 4836) service konektor charge handphone lenovo,100000,Pemasukan
Devisi HpCash,(4838 - 4838) batt ori prime 100% BN 53,75000,Pemasukan
Devisi LaptopCash,(2756 - 4824) install ulang laptop dell inspiron 14 5000,100000,Pemasukan
Devisi LaptopCash,(2757 - 4835) reset printer epson L220,75000,Pemasukan
Devisi LaptopCash,(2758 - 4825) service kamera IP S340,100000,Pemasukan
Devisi LaptopCash,(2759 - 4763) service fleksibel on/off acer,100000,Pemasukan
Devisi HpCash,(2753 - 4823) service tombol power handphone,50000,Pemasukan
Devisi HpCash,(2754 - 4822) software hp samsung a20s,150000,Pemasukan
Devisi LaptopCash,(2755 - 4821) install ulang asus a442u,100000,Pemasukan
OperasionalCash,toner for CB435/43B,150000,Pengeluaran
KasbonCash,(kotak tisu dan mainan tikus) P. Denny & Bu Inggrid,46500,Pengeluaran
PengadaanCash,(Kemenkumham) PMC toner catridge,95000,Pengeluaran
Devisi HpCash,(4802 - 4802) cancel asus ROG,55000,Pengeluaran
OperasionalCash,alat service,38600,Pengeluaran
Devisi LaptopCash,(2752 - 4820) SSD 256 GB,750000,Pengeluaran
Devisi LaptopCash,(2752 - 4820) caddy HDD,100000,Pemasukan
Devisi HpCash,(4802 - 4802) DP Asus ROG,100000,Pemasukan
OperasionalATM,(stok - ) mouse optik usb 10 pcs,105000,Pengeluaran
OperasionalATM,(stok - ) kabel hdmi 5 pcs,70000,Pengeluaran
Devisi HpCash,(2747 - 2747) ganti baterai handphone poco X3,300000,Pemasukan
Devisi HpATM,(2748 - 4619) service tombol power + software huawei,250000,Pemasukan
Devisi HpATM,(2749 - 4819) ganti lcd handphone vivo V9,400000,Pemasukan
Devisi LaptopCash,(2750 - 2750) install aplikasi photoshop,50000,Pemasukan
Devisi LaptopCash,(2751 - 4815) service engsel laptop dell 15 3511,150000,Pemasukan
OperasionalCash,second hdd notebook,78000k,Pengeluaran
OperasionalCash,kabel power notebook,215000,Pengeluaran
Devisi LaptopCash,(4820 - 4820) SSD Sonix 256GB,315000,Pemasukan
Devisi HpATM,(2743 - 4812) ganti baterai hp huawei 3i,250000,Pemasukan
Devisi HpATM,(2743 - 4812) ganti konektor charger huawei,150000,Pemasukan
Devisi HpCash,(2744 - 4758) ganti lcd dan konektor cas xiaomi,550000,Pemasukan
Devisi HpCash,(2745 - 2745) ganti baterai ip 6G,200000,Pemasukan
Devisi HpCash,(2746 - 4557) ganti mesin xiaomi redmi 5A,125000,Pemasukan
Devisi HpCash,(2737 - 4809) software ulang hp vivo 1907,100000,Pemasukan
Devisi HpCash,(2737 - 4809) baterai vivo 1907,200000,Pemasukan
Devisi HpCash,(4817 - 4817) garansi,Free,0
Devisi HpCash,(4819 - 4819) LCD Vivo V9/Y85,195000,Pemasukan
Devisi HpCash,(5274) LCD Xiaomi Redmi Note 8,157000,Pemasukan
Devisi HpCash,(3194 - 5247) DP Ganti LCD Samsung s20 Ultra,2000000,Pemasukan
Devisi HpCash,(3190) Ganti LCD TS HP redmi note 8,400000,Pemasukan
Devisi HPCash,(3196) ganti socket redmi note 9 pro,350000,Pemasukan
Devisi HpATM,(3197) ganti  lcd ts handphone oppo A31,350000,Pemasukan
Devisi HpATM,(3199) ganti baterai handphone redmi 4x,200000,Pemasukan
Devisi HpCash,(5247) DP LCD Samsung,50000,Pemasukan
Devisi HpATM,(5279) batt xiaomi ORI BN-44 redmi 5,65000,Pemasukan
Devisi HpCash,(5282) lcd oppo A31 2020,124000,Pemasukan
Devisi HpCash,Tempered Glass Titan,8000,Pemasukan
Devisi HpCash,o/f reno 5,10000,Pemasukan
Devisi HpATM,lcs sam A750 black,180000,Pemasukan
Devisi HpCash,(3199) batt xiaomi ORI BM-47/4X,50000,Pemasukan
Devisi HpCash,(3200) ganti baterai redmi 5 plus,200000,Pemasukan
Devisi LaptopATM,(3201) service mainboard A10 dell,500000,Pemasukan
Devisi HpATM,(3202) ganti baterai xiaomi redmi note 4X,200000,Pemasukan
Devisi HpCash,(3204) ganti lcd samsung galaxy A7,350000,Pemasukan
Devisi HpCash,(3206) ganti baterai redmi note 7,250000,Pemasukan
Devisi HpATM,(3206) baterai xiaomi redmi note 7,250000,Pemasukan
Devisi HpCash,(3209) service tombol o/f dan power,100000,Pemasukan
Devisi HpCash,(3211) install ulang dan service speaker Hp,200000,Pemasukan
Devisi HpATM,(3162) batt huawei P9,60000,Pemasukan
Devisi HpCash,(3213) ganti baterai dan fleksibel hp honor,350000,Pemasukan
Devisi HpATM,(3222) ganti baterai hp samsung galaxy J7 Prime,250000,Pemasukan
